what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1665656799458
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1665656799461
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1665656799461
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1665656799462
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1665656799462
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1665656799464
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1665656799465
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1665656799467
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1665656799467
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1665656799469
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1665656799470
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1665656799471
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1665656799475
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1665656799476
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1665656799477
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1665656799480
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1665656799481
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1665656799483
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1665656799485
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1665656799486
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1665656799486
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1665656799487
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1665656799490
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1665656799490
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1665656799491
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1665656799492
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1665656799493
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1665656799495
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1665656799496
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1665656799498
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1665656799499
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1665656799500
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1665656799501
os,sysinfo,,,"win32",1665656799502
arch,sysinfo,,,"x86",1665656799502
ws,sysinfo,,,"win32",1665656799502
locale,sysinfo,,,"en_US",1665656799502
processors,sysinfo,,,"8",1665656799502
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1665656799502
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1665656799502
java.specification.name,sysinfo,,,"Java Platform API Specification",1665656799502
java.specification.vendor,sysinfo,,,"Oracle Corporation",1665656799502
java.specification.version,sysinfo,,,"1.7",1665656799502
java.vendor,sysinfo,,,"Oracle Corporation",1665656799502
java.version,sysinfo,,,"1.7.0_02",1665656799502
java.vm.info,sysinfo,,,"mixed mode, sharing",1665656799502
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1665656799502
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1665656799502
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1665656799502
java.vm.specification.version,sysinfo,,,"1.7",1665656799502
java.vm.vendor,sysinfo,,,"Oracle Corporation",1665656799502
java.vm.version,sysinfo,,,"22.0-b10",1665656799502
started,bundle,com.sysdeo.eclipse.tomcat,3.3.0,"com.sysdeo.eclipse.tomcat",1665656813093
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1665656813456
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1665656813652
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1665656813934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1665656820941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1665657336070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1665657360563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1665657361988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1665657403030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1665657446860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1665657447913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1665657582477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1665657622585
